YEAR,MM,DD,tmed,tmax,tmin,Ra,Rain
1991,12,21,24.3,29,19.6,42.55,0
1991,12,22,25.6,31.8,19.4,42.55,0.2
1991,12,23,25.5,30.6,20.4,42.55,2.6
1991,12,24,25.2,30,20.4,42.55,0.8
1991,12,25,24.8,29.6,20,42.54,8.6
1991,12,26,25.3,30.6,20,42.53,5.4
1991,12,27,24.9,30.2,19.6,42.53,3
1991,12,28,20.6,25,16.2,42.52,5
1991,12,29,22.6,28,17.2,42.52,0
1991,12,30,23.9,30.2,17.6,42.53,0
1991,12,31,25,31.2,18.8,42.54,20.2
1992,1,1,24.8,30.6,19,42.54,0
1992,1,2,23.8,28.4,19.2,42.53,9.8
1992,1,3,23.7,27.8,19.6,42.51,0.2
1992,1,4,24.8,28.8,20.8,42.48,0
1992,1,5,24.6,29.8,19.4,42.45,8
1992,1,6,23.8,29.4,18.2,42.43,0
1992,1,7,23.1,29.2,17,42.4,0
1992,1,8,23.2,30,16.4,42.4,0
1992,1,9,22.9,27,18.8,42.37,0
1992,1,10,23.6,30,17.2,42.35,2.7
1992,1,11,24.7,30.8,18.6,42.34,0
1992,1,12,25.1,31,19.2,42.31,0
1992,1,13,23.5,28.4,18.6,42.28,16.6
1992,1,14,25.6,31.4,19.8,42.24,2.4
1992,1,15,25.9,32.2,19.6,42.2,11.6
1992,1,16,22.9,26.4,19.4,42.15,0
1992,1,17,23.4,26.6,20.2,42.11,0
1992,1,18,23.4,27.2,19.6,42.07,0
1992,1,19,23.9,29,18.8,42.02,0
1992,1,20,24.2,29.4,19,41.96,0
1992,1,21,24.5,29.6,19.4,41.91,0
1992,1,22,21.7,24,19.4,41.86,38
1992,1,23,23.3,27.6,19,41.8,1.6
1992,1,24,22.7,27.8,17.6,41.74,0
1992,1,25,22.8,27.6,18,41.68,0.2
1992,1,26,24.8,30.8,18.8,41.62,10.2
1992,1,27,25.1,31.6,18.6,41.54,0
1992,1,28,26.7,33,20.4,41.47,0
1992,1,29,26.5,32.6,20.4,41.39,0
1992,1,30,24.8,29,20.6,41.32,0
1992,1,31,24.9,28.8,21,41.24,3.4
1992,2,1,24.4,28.2,20.6,41.18,8.2
1992,2,2,23,25.6,20.4,41.1,1.2
1992,2,3,22.4,24.6,20.2,41,1
1992,2,4,22.2,25.4,19,40.93,0
1992,2,5,24.1,28.6,19.6,40.85,0
1992,2,6,25.1,29.8,20.4,40.76,0
1992,2,7,23.3,26.6,20,40.68,4.8
1992,2,8,23.6,27,20.2,40.59,3.2
1992,2,9,24,27.8,20.2,40.5,5.2
1992,2,10,24.3,28.2,20.4,40.37,0.5
1992,2,11,25.2,31.2,19.2,40.27,0
1992,2,12,25.1,31,19.2,40.17,0
1992,2,13,25.6,31.2,20,40.06,1.6
1992,2,14,24.8,31.6,18,39.95,0
1992,2,15,25.8,31.8,19.8,39.85,0
1992,2,16,25.4,32,18.8,39.74,3.8
1992,2,17,25.7,32,19.4,39.63,2.8
1992,2,18,26.4,32.8,20,39.52,0
1992,2,19,26.6,33,20.2,39.41,0
1992,2,20,25.2,32.2,18.2,39.29,0
1992,2,21,24.8,32,17.6,39.16,0
1992,2,22,25.1,32.4,17.8,39.02,3.6
1992,2,23,25.2,31.4,19,38.88,0
1992,2,24,25.1,30.6,19.6,38.73,0
1992,2,25,24.7,29,20.4,38.6,0.6
1992,2,26,23.4,27.8,19,38.46,21.8
1992,2,27,23.9,28.8,19,38.34,0
1992,2,28,23.5,27.6,19.4,38.2,1.4
1992,2,29,22.8,27,18.6,38.08,0
1992,3,1,19.9,23.4,16.4,37.94,0
1992,3,2,20.9,25,16.8,37.8,13.2
1992,3,3,21.7,26,17.4,37.65,3
1992,3,4,23.6,28.8,18.4,37.5,0
1992,3,5,23.4,28.6,18.2,37.34,5.2
1992,3,6,24.9,30.8,19,37.19,0
1992,3,7,24.4,30,18.8,37.03,0
1992,3,8,24.2,31,17.4,36.87,0
1992,3,9,24.5,31,18,36.7,1.2
1992,3,10,24.4,30.8,18,36.55,5.8
1992,3,11,24,29.4,18.6,36.38,11
1992,3,12,23.2,28.6,17.8,36.23,9.2
1992,3,13,23.9,29.8,18,36.05,0
1992,3,14,24.6,30.2,19,35.88,11.2
1992,3,15,24.7,30.2,19.2,35.71,0
1992,3,16,22.9,26.4,19.4,35.54,7.2
1992,3,17,21.7,23.8,19.6,35.38,6
1992,3,18,24.5,29.4,19.6,35.21,4.4
1992,3,19,23.2,28.8,17.6,35.04,20.4
1992,3,20,24.2,30.4,18,34.86,0
1992,3,21,24.1,30,18.2,34.69,0
1992,3,22,25.3,31,19.6,34.5,0
1992,3,23,25.1,30.4,19.8,34.33,0
1992,3,24,24,29,19,34.15,0
1992,3,25,20.7,22.2,19.2,33.96,1.4
1992,3,26,23.4,29,17.8,33.76,11
1992,3,27,23.3,29.2,17.4,33.58,0
1992,3,28,23.7,29,18.4,33.38,11
1992,3,29,24.5,30.2,18.8,33.18,0
1992,3,30,23.3,27.2,19.4,33,15.3
1992,3,31,22.2,25.6,18.8,32.82,15.6
1992,4,1,22.4,27.6,17.2,32.64,6.2
1992,4,2,23.7,29.4,18,32.48,0
1992,4,3,23,29,17,32.3,0
1992,4,4,24.1,30.2,18,32.11,0
1992,4,5,23.6,29.4,17.8,31.92,0
1992,4,6,24.1,30.6,17.6,31.73,0
1992,4,7,22.6,27.2,18,31.54,0
