Year,Month,quart.month,Rain,EP.Harg,EP.PM,P-EP.Harg,P-EP.PM,SPI,SPEI.Harg,SPEI.PM,Categ.SPI,Categ.SPEI.Harg,Categ.SPEI.PM
2009,4,15,3.04,22.9639722556224,27.0134621917612,-19.9239722556224,-23.9734621917612,-0.734406673467726,-0.732908083550579,-0.811864162072983,Normal,Normal,Normal
2009,4,16,7.84,27.6522962244961,30.56975326841,-19.8122962244961,-22.72975326841,0.00634420062843511,-0.0545272142177434,-0.0554694810382665,Normal,Normal,Normal
2009,5,17,4.98,19.5317622224229,21.9749707550278,-14.5517622224229,-16.9949707550278,-0.065010736142134,-0.131107998644646,-0.148847786940813,Normal,Normal,Normal
2009,5,18,5.97,21.3912030538245,23.6983766847224,-15.4212030538245,-17.7283766847224,0.186352996724796,-0.195786128423715,-0.278524532463198,Normal,Normal,Normal
2009,5,19,11.05,19.20723659094,19.909871701509,-8.15723659094,-8.85987170150903,0.284311343899074,0.227940279514695,0.248408698537503,Normal,Normal,Normal
2009,5,20,21.07,26.7722846659804,27.4255380250822,-5.70228466598044,-6.35553802508216,0.281518589829175,0.194786253250651,0.198494072064833,Normal,Normal,Normal
2009,6,21,0.35,16.3840123108175,18.7430341494209,-16.0340123108175,-18.3930341494209,-0.919688079064126,-0.70148461814544,-0.753769070687287,Normal,Normal,Normal
2009,6,22,22.41,15.13843918593,14.2139005538521,7.27156081406996,8.19609944614794,1.51792918466889,1.62984511464678,1.61414013211741,sev.wet,sev.wet,sev.wet
2009,6,23,2.3,17.0389861496844,18.3860000998496,-14.7389861496844,-16.0860000998496,-0.0910169885400178,-0.217674434079492,-0.118278432588117,Normal,Normal,Normal
2009,6,24,24.22,21.5156670368969,21.1310613781968,2.70433296310309,3.08893862180318,1.14591037645315,1.24660330132459,1.23730448902777,mod.wet,mod.wet,mod.wet
2009,7,25,8.3,17.4111080527114,15.8751993299748,-9.11110805271137,-7.57519932997476,0.904781738584246,0.975296371385047,1.09066846005289,Normal,Normal,mod.wet
2009,7,26,30.88,17.6412547284088,17.824448262494,13.2387452715912,13.055551737506,1.13931400794121,1.24768105942975,1.22370760418731,mod.wet,mod.wet,mod.wet
2009,7,27,4.85,18.4161719698901,19.1469200186702,-13.5661719698901,-14.2969200186702,0.376047064728914,0.33887031882931,0.393860228992386,Normal,Normal,Normal
2009,7,28,82.99,24.7437156992347,19.2116980506661,58.2462843007653,63.7783019493339,2.08152477132109,2.10497065303917,2.10588414525072,ext.wet,ext.wet,ext.wet
2009,8,29,0.1,22.3807487559985,22.517723617966,-22.2807487559985,-22.417723617966,-0.322960135301655,-0.466543855883681,-0.0237276610988306,Normal,Normal,Normal
2009,8,30,0.44,23.4218279082551,27.1051986700766,-22.9818279082551,-26.6651986700766,-0.231315000621002,-0.317459613229067,-0.542610706604689,Normal,Normal,Normal
2009,8,31,55.42,21.4957749667147,19.5206391020719,33.9242250332853,35.8993608979281,1.94184616363608,2.04050269628958,1.97842478748504,sev.wet,ext.wet,sev.wet
2009,8,32,12.62,33.9034642979358,32.9862027027084,-21.2834642979358,-20.3662027027084,0.647196308369483,0.923478778008199,0.982828395560922,Normal,Normal,Normal
2009,9,33,54.47,26.5211362467803,23.8752050300765,27.9488637532197,30.5947949699235,1.60006406596399,1.65487569901016,1.61787372014027,sev.wet,sev.wet,sev.wet
2009,9,34,62.46,25.8569584737198,22.9394840322095,36.6030415262802,39.5205159677905,1.5187891463726,1.66846253567574,1.60005454881592,sev.wet,sev.wet,sev.wet
2009,9,35,12.26,30.215520499495,25.6283319405364,-17.9555204994951,-13.3683319405364,0.0461741487637673,0.0149887003224275,0.110269197081932,Normal,Normal,Normal
2009,9,36,24.2,35.8013055223018,29.6995785183373,-11.6013055223018,-5.49957851833734,0.368185486545896,0.493517872226586,0.503720379209213,Normal,Normal,Normal
